DISTRICT,VTD,POP
4,1460,6480.0
8,295,6485.0
8,45,6485.0
8,281,9949.0
8,649,13817.0
8,214,6424.0
8,738,4892.0
8,739,5676.0
8,213,6663.0
8,1313,5438.0
8,44,11806.0
8,611,5441.0
8,608,6794.0
8,298,8772.0
8,66,6567.0
8,52,13642.0
8,280,13370.0
8,1148,3950.0
8,378,6761.0
8,1439,4880.0
1,13,8868.0
1,753,4289.0
1,760,5280.0
1,234,9412.0
8,1115,4379.0
8,67,7629.0
8,744,4824.0
8,299,5663.0
8,1061,3622.0
8,314,5562.0
8,1377,3078.0
8,380,6356.0
8,379,4022.0
8,1269,6623.0
1,1226,4863.0
1,1027,2476.0
1,278,2839.0
1,18,5698.0
1,1410,6406.0
1,732,6969.0
1,1435,5023.0
1,731,7378.0
1,1428,14052.0
8,618,4841.0
8,1462,2988.0
8,1062,6927.0
8,639,5886.0
8,640,7258.0
8,568,2596.0
8,1432,4986.0
8,1522,3651.0
1,1104,4993.0
1,832,7814.0
1,615,2402.0
8,1,4607.0
8,294,1637.0
8,746,5487.0
8,101,3887.0
8,505,4415.0
8,641,8048.0
8,171,4938.0
1,1365,8354.0
1,398,4057.0
1,1496,2801.0
1,646,11265.0
1,204,2952.0
1,1111,4515.0
1,1026,4166.0
7,1456,72.0
7,353,260.0
7,1427,336.0
9,800,2760.0
9,801,5427.0
4,124,6352.0
4,1019,3251.0
4,126,2904.0
4,122,11089.0
4,125,3050.0
4,123,5118.0
4,1244,2549.0
4,1245,7060.0
4,1128,5730.0
5,1031,3026.0
5,362,5564.0
5,62,9150.0
5,1289,2598.0
5,63,5104.0
5,652,9523.0
5,1247,2640.0
5,70,8358.0
5,186,10528.0
5,25,10806.0
5,1508,6773.0
5,220,12291.0
5,364,5561.0
5,1285,4996.0
5,799,11638.0
5,219,6109.0
5,1251,5357.0
5,1126,7522.0
5,1229,6160.0
5,1030,6698.0
5,442,5533.0
5,233,11328.0
5,593,10210.0
5,594,9593.0
5,598,12625.0
5,308,7645.0
5,1318,8333.0
5,184,10981.0
5,55,10524.0
5,26,877.0
5,60,7801.0
5,27,10804.0
5,175,13267.0
5,248,14837.0
5,385,10300.0
5,174,3830.0
5,386,9005.0
5,651,13602.0
5,388,8724.0
5,65,14766.0
5,387,7652.0
5,1109,3070.0
5,292,6436.0
7,1028,88.0
2,628,2256.0
2,1150,180.0
1,402,1152.0
9,839,23263.0
9,855,3175.0
9,824,4566.0
