BLOCK,PRECINCT
160010003051005,16001011906
160010003051006,16001011906
160010003051007,16001011906
160010003051008,16001011906
160010003051009,16001011906
160010003051010,16001011906
160010003051011,16001011906
160010003051012,16001011906
160010003051013,16001011906
160010003052000,16001011906
160010003052001,16001011906
160010003052002,16001011906
160010003052003,16001011906
160010003052004,16001011906
160010003052005,16001011906
160010003052006,16001011906
160010003052007,16001011906
160010003052008,16001011906
160010003052009,16001011906
160010003052010,16001011906
160010003061000,16001011603
160010003061001,16001011603
160010003061002,16001011603
160010003061003,16001011603
160010003061004,16001011603
160010003061005,16001011603
160010003061006,16001011603
160010003061007,16001011603
160010003061008,16001011603
160010003061009,16001011603
160010003061010,16001011603
160010003061011,16001011603
160010003061012,16001011603
160010003061013,16001011603
160010003061014,16001011603
160010003061015,16001011603
160010003062000,16001011907
160010003062001,16001011907
160010003062002,16001011907
160010003062003,16001011907
160010003062004,16001011907
160010003062005,16001011907
160010003062006,16001011907
160010003062007,16001011907
160010003062008,16001011907
160010003062009,16001011907
160010003062010,16001011907
160010003062011,16001011907
160010003062012,16001011907
160010003062013,16001011907
160010003063000,16001011603
160010003063001,16001011603
160010003063002,16001011603
160010003063003,16001011603
160010003063004,16001011603
160010003063005,16001011603
160010003063006,16001011603
160010003063007,16001011603
160010003063008,16001011603
160010003063009,16001011603
160010003063010,16001011603
160010003063011,16001011603
160010003063012,16001011603
160010003063013,16001011603
160010004011000,16001011602
160010004011001,16001011602
160010004011002,16001011602
160010004011003,16001011602
160010004011004,16001011602
160010004011005,16001011602
160010004011006,16001011608
160010004011007,16001011602
160010004011008,16001011602
160010004011009,16001011602
160010004011010,16001011602
160010004011011,16001011602
160010004011012,16001011608
160010004011013,16001011602
160010004012000,16001011605
160010004012001,16001011605
160010004012002,16001011605
160010004012003,16001011605
160010004012004,16001011605
160010004012005,16001011605
160010004012006,16001011605
160010004012007,16001011605
160010004012008,16001011605
160010004012009,16001011605
160010004012010,16001011605
160010004012011,16001011605
160010004012012,16001011605
160010004012013,16001011605
160010004012014,16001011605
160010004021000,16001011915
160010004021001,16001011915
160010004021002,16001011915
160010004021003,16001011915
