map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
I037K01N14,1478946.083017,0.018900,0.494300,0.022100,7,0.500000,6.690700,0.477900,7,0.016400,0.010700,-0.008200,-0.007600,-0.001500,-0.007600,-0.001700,-0.702700,-0.005600,-0.006300,0.000700,-0.008000,6.948600,0.496300,5.298100,6.948600,0.496300,3.863300,0.554200,0.566900,0.000000,5,8.382800,5,0.457800,0.323400,1.290100,2.076600,92,66,50,70,11
I038K01N14,1454689.300286,0.022300,0.494300,0.022100,7,0.500000,6.690000,0.477900,7,0.016400,0.010700,-0.003100,-0.002700,-0.000600,-0.002900,-0.002600,-0.048200,-0.009400,-0.009100,-0.000200,-0.005600,5.607600,0.400500,4.407900,5.607600,0.400500,3.872300,0.561700,0.572700,0.000000,5,7.478500,5,0.491000,0.329800,1.272100,2.023200,92,53,50,76,14
I039K01N14,1450240.964108,0.005400,0.494300,0.010000,7,0.500000,6.860600,0.490000,8,0.004200,-0.001500,-0.015900,-0.014800,-0.003400,-0.014800,-0.003600,-1.554000,-0.017800,-0.018000,0.000200,-0.009500,5.646600,0.403300,4.520500,5.646600,0.403300,1.741100,0.553300,0.584900,0.000000,5,7.484000,5,0.474100,0.338600,1.271200,2.056300,98,54,50,75,14
I040K01N14,1484812.509272,0.007300,0.494300,0.028600,7,0.500000,6.600000,0.471400,7,0.022900,0.017100,0.003900,0.003700,0.000800,0.003300,0.003500,0.350200,-0.001500,-0.001900,0.000400,-0.005300,5.537400,0.395500,4.305900,5.537400,0.395500,4.996600,0.560500,0.572700,0.000000,5,8.190900,5,0.500300,0.334900,1.296200,2.113400,89,53,50,80,10
I041K01N14,1686018.637260,0.007400,0.494300,0.032400,7,0.500000,6.545800,0.467600,7,0.026700,0.021000,0.011100,0.010600,0.002700,0.010200,0.004100,1.027100,0.002200,0.001600,0.000600,-0.003900,4.810900,0.343600,3.737500,4.810900,0.343600,5.673400,0.566800,0.579400,0.743900,5,6.759800,5,0.446300,0.298600,1.293500,2.110300,87,46,58,64,10
I042K01N14,1588067.924544,0.008400,0.494300,0.039000,7,0.500000,6.454000,0.461000,7,0.033300,0.027600,0.015500,0.016200,0.004000,0.016000,0.006600,1.336400,-0.001800,-0.003500,0.001600,-0.004200,5.065400,0.361800,4.115500,5.065400,0.361800,6.820700,0.567200,0.581900,0.000000,5,6.845600,5,0.518000,0.361600,1.289700,2.111600,83,48,50,82,11
I043K01N14,1464180.377833,0.008400,0.494300,0.015300,7,0.500000,6.785400,0.484700,8,0.009600,0.003900,-0.009500,-0.008800,-0.002100,-0.009000,-0.003600,-0.884500,-0.015500,-0.015500,-0.000100,-0.007700,5.364800,0.383200,4.341600,5.364800,0.383200,2.681100,0.552800,0.583600,0.000000,5,6.601800,5,0.481300,0.331600,1.287200,2.090800,95,51,50,76,12
I044K01N14,1452019.276074,0.015100,0.494300,0.023000,7,0.500000,6.677500,0.477000,7,0.017300,0.011600,-0.001800,-0.001500,-0.000300,-0.001700,-0.002200,0.078900,-0.007700,-0.007400,-0.000300,-0.005300,5.502200,0.393000,4.343700,5.502200,0.393000,4.027900,0.562400,0.573300,0.000000,5,7.459500,5,0.477700,0.322000,1.294000,2.086400,91,52,50,74,10
I045K01N14,1676808.976039,0.007700,0.494300,0.009200,7,0.500000,6.871000,0.490800,8,0.003500,-0.002200,-0.017300,-0.016300,-0.003700,-0.016200,-0.005400,-1.842000,-0.016400,-0.017100,0.000700,-0.010700,5.985900,0.427600,4.634700,5.985900,0.427600,1.611300,0.552000,0.584300,0.783800,5,8.218900,5,0.426000,0.304800,1.281000,2.059500,98,57,58,60,12
I046K01N14,1699114.863840,0.012900,0.494300,-0.009200,7,0.500000,7.128300,0.509200,7,-0.014900,-0.020600,-0.030100,-0.029000,-0.008200,-0.028800,-0.007700,-4.040200,-0.011100,-0.012200,0.001100,-0.016500,4.657900,0.332700,3.663500,4.657900,0.332700,-1.602300,0.575300,0.589000,0.000000,5,7.694300,5,0.492100,0.320900,1.328200,2.204300,95,44,50,76,6
I047K01N14,1464357.945744,0.008500,0.494300,0.050100,7,0.500000,6.298100,0.449900,7,0.044400,0.038700,0.022400,0.022100,0.004400,0.021800,0.006200,2.576400,-0.003700,-0.004200,0.000500,-0.000300,6.398100,0.457000,4.848400,6.398100,0.457000,8.767200,0.559700,0.572000,0.000000,5,7.616100,5,0.487300,0.344900,1.259000,1.995200,78,61,50,78,16
I048K01N14,1557193.498018,0.005200,0.494300,0.050100,7,0.500000,6.298200,0.449900,7,0.044400,0.038700,0.026400,0.025600,0.005700,0.025100,0.006100,2.774500,0.006500,0.005800,0.000700,-0.000000,5.322100,0.380100,4.157700,5.322100,0.380100,8.766200,0.564200,0.577100,0.000000,5,7.593300,5,0.497300,0.319800,1.304400,2.173200,78,51,50,77,9
I049K01N14,1516651.110097,0.009900,0.494300,0.018100,7,0.500000,6.746400,0.481900,8,0.012400,0.006700,-0.010100,-0.009500,-0.002000,-0.009500,-0.003300,-0.837100,-0.013600,-0.013900,0.000300,-0.007900,6.394700,0.456800,4.939900,6.394700,0.456800,3.168000,0.550400,0.581300,0.000000,5,8.380700,5,0.467000,0.330100,1.295700,2.106600,94,61,50,72,10
I050K01N14,1597019.740068,0.010900,0.494300,0.005500,7,0.500000,6.923200,0.494500,7,-0.000200,-0.006000,-0.014000,-0.013400,-0.004100,-0.013400,-0.003900,-1.918600,-0.008200,-0.008900,0.000700,-0.011000,4.254800,0.303900,3.402800,4.254800,0.303900,0.958900,0.578800,0.591500,0.000000,5,8.376900,5,0.512500,0.318400,1.295600,2.141100,100,41,50,78,10
I051K01N14,1452779.704739,0.021000,0.494300,0.025600,7,0.500000,6.641600,0.474400,7,0.019900,0.014200,0.001000,0.001200,0.000300,0.001000,0.002000,0.240900,-0.008700,-0.008700,0.000000,-0.005200,5.430400,0.387900,4.297300,5.430400,0.387900,4.476500,0.562100,0.573600,0.000000,5,7.421200,5,0.505000,0.322200,1.278700,2.077000,90,52,50,78,12
I052K01N14,1649615.922519,0.013100,0.494300,0.029200,7,0.500000,6.590500,0.470800,7,0.023500,0.017800,0.005800,0.006300,0.001500,0.006000,0.001400,0.188200,-0.002900,-0.004400,0.001500,-0.006800,5.070100,0.362200,4.091800,5.070100,0.362200,5.114800,0.565900,0.580300,0.000000,5,6.804000,5,0.464300,0.367400,1.250100,1.958500,88,48,50,76,17
I053K01N14,1449829.631094,0.009300,0.494300,0.033100,7,0.500000,6.536300,0.466900,7,0.027400,0.021700,0.006800,0.007100,0.001500,0.006900,0.002900,0.816700,-0.005800,-0.006200,0.000400,-0.004300,5.944200,0.424600,4.598500,5.944200,0.424600,5.792000,0.560800,0.573100,0.000000,5,7.554000,5,0.478700,0.347600,1.257500,1.989400,86,57,50,76,16
