3001300019C,30059000005
30015000008,30041000021
3006300096F,300630097PC
3006300090E,30063100SJE
3001300019C,3001300019E
30007000001,30007000011
30035000012,30035000013
30027000004,30045000002
3003100067B,3003100068A
30041000003,30041000014
30005000010,30005000015
30081000023,30081000024
3004700RON2,3004700STI2
30077000010,30077000011
30015000001,30015000002
300630095SC,30063100SJW
30023001-78,30023002-78
30013000030,30015000006
30009000003,30095000002
30043009-75,30049000020
3004700PAB1,3004700POL8
30029000039,30029000045
30083000002,30083000022
3001300020A,3001300022A
30039000001,30039000009
30021000001,30021000004
30095000002,30095000007
301110053.3,301110055.5
30087000030,30087000032
3006300089C,30081000023
301110050.2,301110052.2
30029000024,30089000005
30009000005,30009000007
30051000001,30073000019
30045000004,30059000005
3006300014S,300630097PC
3002304-78W,3002305-77S
30081000004,30081000010
30055000027,30085000022
30029000003,30029000037
30081000005,30081000007
3003100066B,3003100066C
30039000002,30081000004
3003100064C,30057000020
30013000023,3001300022A
3004700BEA1,3004700SWA1
30033000014,30069000001
30023001-78,3002301-77E
3003100061D,3003100063A
30093000021,30093000022
30073000024,30073000029
30029000029,30029000033
30029000042,30029NAHD10
30007000007,30007000011
30089000001,30089000002
3003100059A,3003100061B
3002302-77E,3002303-77W
30027000003,30027000013
30059000005,30107000001
30081000015,30081000017
30049000019,30049000020
30087000011,30087000017
301110051.1,301110051.2
30001000003,30001000006
3006300094H,3006300096W
30065000001,30065000003
3006300090R,30063100SJE
30083000005,30083000007
3001300019C,300130019B1
30087000007,30087000015
30013000024,30013000025
30043002-75,300570015-1
30033000014,30033000019
300630092Se,300630092Sw
30017000011,30075000012
3001300019E,3001300020B
30083000009,30109000001
3004700POL5,3004700POL6
30017000005,30079000004
3006300090W,300630089LC
30077000011,30077000012
30007000001,30049000021
30065000006,301110039.2
301110042.2,301110055.2
30083000007,30083000017
30061000024,30061000025
301110040.3,301110046.1
30065000006,30065000008
30093000011,3009300027N
3003100068A,3003100068B
300130019A2,30049000033
300470000NA,3004700POL4
30041000009,30041000013
3004700RON1,30089000008
301110051.3,301110054.1
30093000011,3009300012E
30085000026,30085000027
30073000019,30073000035
30043008-75,30043009-75
30043004-75,30043005-75
30003000010,30087000007
3006300098N,300630095He
30017000014,30079000003
30089000006,30089000008
30041000001,30041000002
3000300004N,301110039.1
30027000016,30027000018
30079000001,30079000004
30013000030,3001300019D
30005000010,300710011-S
30017000009,30087000011
30027000014,30045000004
3003100067B,3003100068B
30087000006,30087000020
30081000016,30081000018
30077000005,30077000006
3002304-78W,30077000016
301110040.3,30111040-45
30001000020,30001000021
30029000017,30029000023
30027000004,30027000016
30001000004,30057000020
30041000007,30041000016
30077000003,30077000011
30093000018,30093000021
30093000004,3009300002E
30003000001,30003000008
30023004-77,3009300027S
30091000004,30091000006
30009000015,301110055.3
30053000008,30053000014
30029000003,30029000029
3003100063A,3003100063C
3006300096F,300630096SM
301110050.1,301110051.1
30049000033,30099000007
3003100065A,3003100065B
30003000008,30003000015
30025000001,30109000001
30029000013,300470000NA
30029NAHD15,3004700FER1
30093000001,3009300002E
30019000002,30091000002
301110054.1,301110054.2
3006300089L,30081000023
30049000007,30049000015
300130019A1,300130019A4
3003100062B,3003100062D
30005000011,30005000013
30027000003,30027000012
30095000001,30095000009
30081000008,30081000009
30061000025,3006300014S
30035000009,3003500021C
30093000028,3009300009E
30041000018,30041000020
3006300092B,30063091RsW
30029000031,30029000034
30043003-75,3009300012E
3006300014N,3006300014S
301110043.1,301110056.2
30023001-78,3002305-77N
30021000001,30021000002
30069000001,30087000026
30013000030,3001300019C
301110051.1,301110055.1
301110048.2,301110049.2
30041000003,30041000016
30093000017,30093000018
30003000003,301110039.1
30029000005,30029000032
301110049.2,301110050.2
30061000024,30061000030
30093000022,3009300008E
301110044.3,301110047.1
3002301-77W,3002302-77W
30081000017,30081000019
30095000009,30097000004
30001000001,30001000012
30095000002,301110040.5
30023002-78,3002302-77E
30049000006,30049000026
30081000004,30081000007
30083000019,30085000016
30057000020,300570001-1
30029000045,30029000047
301110044.1,301110045.2
30081000007,30081000008
30077000003,30077000004
300130019A1,300130019A2
3006700059B,3006700060A
30057000007,300570015-1
301110039.2,301110043.1
30043001-71,3009300009N
30075000004,30087000017
30029000005,30029000041
3006700059D,30095000011
301110055.2,301110055.3
30033000001,30033000014
30083000003,30083000022
30027000007,30027000008
30015000007,30015000009
30083000005,30083000023
30035000010,30035000019
30027000006,30027000008
3006700059C,30097000003
30009000007,30009000016
30029000006,30029000031
30049000017,30049000022
30001000002,30001000007
30033000007,30055000008
30009000007,30009000015
3006300090R,300630099RN
30069000001,300710011-S
3003100067C,3003100069D
30017000004,30017000008
30059000005,30097000003
30003000006,30103000001
300630095Ha,300630095SC
30009000008,30009000011
301110050.1,301110050.2
30091000002,30091000005
30083000004,30083000022
3002302-77E,3002305-77S
30029000024,30053000011
30027000002,30027000009
3006300095L,300630095SC
30015000005,30015000009
30017000001,30017000004
30073000019,30099000017
30093000004,3009300012E
30041000014,30041000028
3006300092B,30063091RsE
3003100059A,3006700059A
30029000015,30029000024
30073000034,30073000035
30029000003,30029000032
301110042.2,301110055.1
30077000004,30077000005
30097000003,30097000005
30013000024,3001300020B
30001000002,30001000019
3001300019C,3001300019D
