2107900C103,2116700E102
2106900E101,2120500A106
2111300F102,2111300F103
2105900B103,2114900D101
2119300B105,2119300B109
2111100G154,2111100G167
2102900C101,2102900C103
2105900G101,2105900H107
2102300D101,2102300E101
2106700A115,2106700A120
2120100A101,2120100C101
2117700D103,2121900B102
2121100F101,2121100F103
2106700B151,2106700C129
2109700H101,2109700H102
2111100A123,2111100J105
2106700B127,2106700B143
2110900C101,2120300E103
2122900A103,2122900C101
2106700A151,2106700B102
2116900A104,2116900D102
2110300F103,2121100D102
2111100B173,2111100I147
2101900B103,2101900B106
2107300F103,2107300F108
2115700A108,2115700B103
2111100V118,2111100V124
2109300A009,2109300B001
2110700A007,2110700B015
2104100A101,2122300C104
2109300E003,2109300E005
2105300D102,2105700B103
2116700A103,2122900C101
2102700F101,2108500B105
2112500D101,2112500D106
2108300C106,2108300C107
2106700A116,2106700A190
2110100C107,2110100D106
2116500C101,2119700D101
2116500D101,2123700C101
2114500B132,2114500C122
2108900A105,2108900A107
2108700D101,2108700D102
2123100D106,2123100G101
2105100C102,2118900A103
2114100C102,2121900E101
2111100B124,2111100Q139
2111700C124,2111700C131
2111500C103,2111500C105
2107300B109,2107300D109
2111100K114,2111100K116
2110700D027,2110700E034
2101700F101,2106700C154
2105900H104,2105900H112
2111100S128,2111100S161
2111100K110,2111100K112
2117700B102,2117700B103
2118900A102,2118900B102
2111100M123,2111100M166
2111100B132,2111100B133
2104500A104,2104500C104
2106700B139,2106700C120
2102900C101,2102900C111
2111100H112,2111100H157
2101900A110,2101900A114
2111100C129,2111100C131
2111100G116,2111100G144
2105500A102,2122500E103
2103700C102,2103700C203
2111100A123,2111100J144
2119500C110,2119500D105
2123100A103,2123100B103
2106700B106,2106700B133
2111700C139,2111700C141
2121100D102,2121100D105
2108500B105,2108500C101
2119300B105,2119300C111
2120900E126,2120900G134
2119900B113,2119900C110
2100500F102,2100500F104
2111300F104,2111300F105
2114700D106,2123500D104
2106700A116,2106700A194
2121500A101,2121500B102
2112100E104,2112100E106
2111100J113,2111100J148
2115100C103,2115100C104
2111100L108,2111100L110
2109300C002,2109300C004
2111100N109,2111100N112
2120900E122,2120900E124
2113300B103,2113300E105
2111700C116,2111700C118
2108300C107,2108300C108
2115700C102,2115700C105
2111100I110,2111100I111
2120900G128,2120900G132
2110900C101,2115100A101
2107300A103,2107300B101
2122700D110,2122700F111
2100900E102,2100900G101
2101500B117,2101500C135
2101900A106,2101900A118
2111100V120,2111100V127
2104900B103,2104900C102
2116100B108,2116100C103
2109500B104,2109500C101
2100300E102,2100300E103
2111100V127,2111100V129
2116700D103,2116700F101
2122700E101,2122700E106
2116100A104,2116100C104
2115100A108,2115100A110
2111700A125,2111700A128
2111100H155,2111100Q104
2101500A118,2101500B122
2114700F106,2114700F109
2111100A128,2111100A135
2115100D104,2115100D108
2118300B102,2118300B103
2110100A101,2110100A111
2117700A101,2117700C103
2111100L154,2111100M104
2102100D102,2102100F104
2111100L139,2111100M137
2117900E103,2122900A101
2121100B102,2121100B103
2100100B102,2100100C104
2119900A110,2119900A112
2111700C112,2111700C115
2111100S164,2111100S165
2111100N136,2111100N145
2111100B151,2111100D126
2107300F103,2121100C102
2111500A105,2111500C110
2111900A101,2111900C108
2111100J105,2111100J119
2111100L134,2111100N126
2117900D103,2121500D102
2103300D101,2104700C105
2118500B101,2118500B104
2122700D104,2122700D105
2111100H146,2111100I142
2101100C102,2116500A101
2113500C101,2113500C103
2110700B010,2110700B012
2115100A106,2115100A107
2111100H127,2111100H154
2109900C101,2109900C102
2112300B101,2112300B102
2101300B101,2101300E103
2118500E102,2118500E105
2114300B101,2114300B102
2122700F108,2122700F109
2110100C105,2122500F101
2102500A103,2102500B102
2111100D136,2111100D138
2103300A102,2103300A103
2117900E101,2117900E102
2103500A103,2103500A106
2111100E182,2111100S118
2113700B101,2113700B103
2102100C101,2102100F104
2112100A101,2112100A102
2120700B101,2123100B103
2105900A101,2105900B102
2111700B110,2111700B138
2104300A105,2104300C101
2104900B101,2104900B102
2105900H102,2105900H109
2110100B101,2110100B102
2106700A165,2106700A195
2119900E101,2119900E108
2101500B134,2111700B120
2106500B103,2119700A102
2111100A121,2111100A134
2111100B159,2111100B161
2103300B102,2110700F037
2111100K140,2111100K142
2105700B101,2105700B102
2107300B103,2107300B105
2114700A101,2114700F109
2107300C108,2107300C109
2111100L138,2111100L151
2101900B102,2101900B121
2107300C109,2107300D108
2106900B101,2106900D102
2117900A101,2117900A104
2112100B105,2112100C102
2105100E102,2112500C101
2101500A103,2101500A110
2105500A101,2105500F101
2122500F102,2122500F103
2112500C101,2112500C102
2105900E103,2105900E104
2101500B117,2101500C136
2108500C101,2108500C102
2117900C103,2117900C105
2101100B104,2116500C101
2101100B103,2106900E104
2104300D101,2106300D101
2111100D110,2111100G167
2101900A113,2101900B119
2109300A001,2111100A130
2105300A101,2105300D102
2112100A104,2112100A105
2109300C004,2109300D002
2104500C103,2113700C103
2113100D102,2113100D104
2101900B102,2101900C115
2100700C103,2114500B119
2109900D101,2109900D102
2117300B107,2117300C101
2103700C102,2103700C103
2106700A113,2106700A123
2111500C108,2112700C102
2123900B101,2123900B102
2107300D104,2120900B103
2111500A101,2111500B110
2111700A133,2111700C122
2117700A107,2117700E104
2122700F107,2122700F111
2120900A116,2120900E128
2119500E105,2119500E106
2106700C132,2106700C148
2123500C107,2123500C111
2119900D106,2120300C103
2114500B121,2114500B122
2111100G123,2111100G147
2106700C195,2106700C226
2111100F153,2111100F163
2116300A101,2116300E103
2114100C101,2114100D101
2111100C149,2111100D136
2100300B102,2100300B103
2104300E101,2104300E105
2111100E141,2111100L152
2111700B117,2111700B141
2106700C109,2106700C222
2106700C217,2106700C225
2112700A102,2112700B103
2111100H120,2111100H123
2122700B111,2122700B112
2108100A105,2108100B102
2109500A101,2109500E102
2111100V118,2111100V119
2104700F102,2104700G103
2115700A101,2115700A103
2101300A103,2109500E108
2122700E102,2122700E103
2119500A104,2119500A106
2118500H104,2118500H106
2100300C102,2100300D102
2111100H111,2111100H118
2113100B103,2113100D102
2117300A104,2117300A105
2111100V104,2121100F104
2111100F106,2111100F151
2116900A102,2116900D101
2102500A105,2123700A101
2110100C107,2110100D109
2107900A103,2107900B102
2110700D024,2110700D026
2112500A107,2112500B104
2109700C101,2118100A101
2111100O114,2111100O136
2106700A130,2106700A199
2104700A101,2104700A103
2111100D116,2111100D141
2111100V110,2111100V114
2106700C109,2106700C127
2117700B105,2121900B102
2111100L157,2111100N112
2111900C104,2111900C105
2110100B108,2110100B111
2122700B111,2122700B115
2109500B103,2109500D104
2101700C103,2101700G102
2123500A106,2123500C110
2109300C003,2109300D006
2102500B105,2102500C101
2106700C105,2106700C142
2108300C108,2114500A120
2101500B127,2101500B134
2107100A116,2111500A106
2111900D105,2111900D107
2121700C105,2121700F103
2108100C102,2108100C103
2103700C303,2103700C306
2102100C102,2102100C104
2111100F145,2111100S164
2122300A101,2122300A102
2111100K105,2111100K129
2117900A103,2117900B103
2104700B102,2104700B104
2100900D102,2100900G103
2111100C111,2111100Q127
2111100D116,2111100D122
2112900C102,2112900C103
2114700A104,2114700F109
2113100D103,2113100D105
2119900C101,2119900C103
2115700C106,2115700C107
2109300C004,2109300C005
2108100B105,2108100C108
2110700G048,2110700G050
2102100D103,2113700A102
2115900D104,2119500A110
2114500C112,2114500C113
2111300A104,2111300B104
2119900E101,2119900E111
2107300D101,2118700D101
2119300B103,2119300B109
2111500C109,2111500C110
2109300C004,2109300D003
2111100G158,2111100G165
2111100H162,2111100I145
2111700B118,2111700B131
2102700E102,2109300H003
2119100B101,2119100C102
2103500C102,2103500C108
2106700B207,2106700B231
2105300B101,2105300F102
2106700A171,2106700C109
2118500E105,2118500E106
2119500C106,2119500D101
2111100K104,2111100K112
2111100G121,2111100H113
2103700A402,2103700C202
2111100A123,2111100J143
2115700A104,2115700A106
2104300D102,2104300D103
2101900C111,2101900C117
2108300C108,2114500B122
2102300H101,2116100B104
2109900A103,2109900E103
2122900B102,2122900F102
2111100M129,2111100M130
2100300D101,2122700F109
2100900E101,2100900F102
2119500C107,2119500D101
2123500D101,2123500D104
2109500A101,2109500B102
2112700C104,2112700C105
2111100L145,2111100M110
2119500E103,2119500F105
2115100A102,2115100A108
2119500C102,2119500C104
2101300D105,2101300D106
2106700A140,2106700A163
2106700B203,2106700B226
2103700A804,2103700B907
2106700B111,2106700B189
2111100O114,2111100O115
2111300D103,2111300F103
2111100A121,2111100A130
2118500E104,2118500H104
2116500D101,2119700D103
2119300A103,2119300A114
2106700B219,2106700B226
2123100D105,2123100D107
2119500C102,2119500C103
2102900A108,2111100I145
2111100S128,2111100S153
2102900A102,2102900A106
2109300F004,2109300G002
2110100A110,2110100A116
2102900C103,2102900C108
2108300B102,2108300B105
2122700B108,2122700E201
2106700A189,2123900A101
2111100B151,2111100B159
2115700C103,2115700C105
2118500G102,2118500G103
2110700B008,2110700F042
2117500E102,2123700A101
2101300D101,2101300D104
2111100V107,2111100V111
2100900A103,2100900D103
2111100A124,2111100A125
2105900A139,2105900A143
2112300C103,2117900A104
2110100D106,2110100D111
2109500A110,2109500C101
2101900B121,2101900C115
2102900A102,2102900X001
2111700B129,2111700B130
2122700A110,2122700A117
2103700A601,2103700B909
2118500D103,2118500F105
2109300B003,2109300B005
2111100L147,2111100M129
2111100J119,2111100J140
2104300D101,2120500C101
2104700C101,2104700C103
2105100B101,2105100C103
2108500C102,2108500C103
2116300C101,2116300E102
2117100B102,2117100C103
2111700C134,2111700C135
2121700B101,2121700C101
2119900A110,2119900E103
2113700A101,2113700A103
2106700C155,2106700C159
2111100S118,2111100S161
2111700A137,2111700A138
2111900A105,2111900B106
2105300C101,2105300C103
2120300B101,2120300E105
2111300A103,2111300D102
2106900F103,2106900F105
2111100I147,2111100I148
2114500C107,2114500C110
2106700B120,2106700B125
2113100C102,2119300C110
2106700C152,2106700C178
2123500C101,2123500C108
2108500B101,2108500B105
2122700E102,2122700E109
2111100Q101,2111100Q134
2111100C134,2111100D113
2103100E106,2108500B101
2107100C105,2107100C106
2104500C102,2104500C103
2111300B104,2111300B105
2111700C138,2111700C142
2121700B101,2121700C104
2122100D101,2122100G102
2112300B102,2112300B103
2122700D113,2122700D114
2103700A412,2103700A503
2121100B105,2121100C104
2101500A119,2101500C128
2111100H130,2111100I142
2116700C101,2116700C102
2108900A103,2108900C104
2122700F103,2122700F106
2112500A105,2112500A108
2103700A418,2103700B912
2106700B128,2106700B181
2111100N102,2111100N128
2112700C102,2112700C103
2112500E107,2119900D106
2103100B106,2103100B107
2116700C102,2116700D101
2109500C106,2109500C109
2114300X001,2115700B108
2106700A198,2106700A203
2120700E101,2120700E102
2100900A102,2100900A104
2112500D101,2112500D108
2111100A111,2111100K132
2100100A105,2100100G101
2107300D103,2118700D101
2111100V130,2118500E104
2103300B101,2103300B102
2111700A133,2111700C125
2107700A101,2107700D101
2103500A103,2122100X002
2111100V104,2111100V131
2106700C143,2106700C227
2111100G104,2111100G106
2106700C156,2106700C157
2106700C124,2106700C138
2121500A101,2121500D105
2106700B104,2106700B172
2106700C187,2106700C224
2106700C103,2106700C140
2109300E004,2109300F005
2102900B111,2111100B177
2106900F102,2106900F104
2108500E101,2109900E104
2103700A804,2103700B903
2113300B102,2113300C102
2113900B102,2113900D102
2108500B102,2108500B105
2122100A101,2122100G102
2121100A105,2121100F103
2111100L111,2111100L113
2103100C107,2118300E101
2111500A108,2111500B105
2119900C110,2119900C113
2111100N106,2111100N107
2100900D101,2109900C103
2111300E104,2123900H103
2110100C111,2110100D109
2106700B156,2106700B191
2103700B704,2111700B129
2104700D105,2122100E101
2106700B112,2106700B137
2106700B133,2106700B165
2114700F103,2114700F104
2104300A104,2104300B105
2111500A103,2111500A110
2120900G132,2120900G136
2111100L115,2111100M139
2118900A102,2118900A103
2102100E101,2102100E103
2111100V127,2111100V128
2106700A115,2106700A168
2112500F102,2112500F106
2107100A109,2107100A110
2110700F039,2110700F040
2105900A119,2105900H115
2113300B103,2113300C106
2108700A103,2121700A101
2100100A105,2100100G102
2108100B105,2108100B108
2111100L117,2111100L118
2110100A108,2110100E109
2111100K118,2111100K137
2106500B106,2110900A104
2111100E165,2111100E179
2119900B105,2119900B109
2107900B102,2113700B104
2106900B103,2106900E103
2106700A148,2106700A169
2109500B109,2109500C102
2111100M139,2111100M140
2106700A111,2106700A171
2111100N124,2111100N128
2113100D103,2119300A104
2120300E103,2120300E105
2114700A101,2114700A102
2113300E103,2113300E104
2107300C106,2107300D107
2104700E101,2104700E105
2111300E103,2111300E104
2101100A103,2101100A104
2118900A102,2118900C102
2112700A102,2112700A103
2104700E104,2104700G106
2120900F123,2120900F125
2111100J101,2111100K125
2105300C103,2105300D102
2114700D101,2114700F108
2122100G101,2122100G102
2105100F101,2105100F104
2115700C101,2115700C103
2111300A103,2111300A107
2103700C311,2103700C501
2111100K104,2111100K110
2104700D101,2104700D102
2103500C102,2103500D103
2106700B141,2106700B212
2109300F001,2109300F005
2122700B101,2122700D111
2111100G109,2111100G143
2115700A107,2115700A108
2104300A101,2104300A105
2109300G003,2109300G008
2111700B116,2111700B137
2114100D101,2114100D103
2118500A101,2118500A104
2116900C101,2116900D101
2111100N101,2111100N107
2111100I138,2111100I142
2111100A115,2111100A127
2103700C305,2103700C306
2107500C102,2107500D102
2117900E104,2121500D101
2110900B101,2110900B102
2111700A104,2111700A133
2116700A102,2116700A103
2122700F104,2122700F115
2111100D121,2111100D140
2111900A103,2119300A108
2114500A104,2114500A116
2115100D105,2115100D107
2107100A113,2111500C107
2108900A107,2108900C110
2102900A112,2102900B113
2118500B105,2118500C102
2123900A101,2123900F102
2119500B102,2119500B107
2107100B103,2115300C102
2117500E102,2117500E103
2100300D102,2100300D103
2100500F101,2100500F103
2109900C101,2116900B103
2103100D106,2122700E102
2111100K133,2111100K134
2106700A156,2106700B118
2105700A101,2105700C103
2106700A152,2106700A195
2123100D105,2123100D106
2122700C106,2122700E101
2123900A101,2123900E101
2111100K142,2111100K150
2111900B102,2113300B101
2111100M110,2111100M129
2106500C105,2115100A109
2117700A101,2117700A103
2111100D101,2111100D129
2101100A105,2117300C102
2113100C101,2113100D102
2110700B012,2110700C020
2113500D102,2120500D103
2105300B101,2123100B106
2106700A114,2106700A181
2108300C101,2108300C106
2110100A110,2110100E113
2102500A103,2102500B101
2121700D104,2121700E101
2114500C108,2114500C112
2106700C200,2106700C217
2111100N102,2111100N117
2119500A107,2119500C111
2101300D103,2101300D105
2107700D101,2107700D102
2113300D102,2113300D106
2111900C105,2111900C111
2103100D105,2108500F106
2101300B104,2101300E103
2111100K128,2111100K147
2112100E103,2112100E104
2119900A105,2119900B108
2103700A403,2103700A406
2111100E152,2111100S167
2107100D109,2119500B107
2101900A121,2101900C103
2114700D103,2114700F103
2111100A108,2111100A113
2113100C101,2113100C103
2103700B704,2103700B905
2121100E104,2121100E105
2106900B101,2106900B102
2106300F101,2106300G101
2104500B103,2104500C101
2111100C138,2111100D131
2109300H006,2109300H008
2111100M107,2111100M110
2111700A111,2111700C124
2111100K127,2111100K128
2111100A129,2111100A143
2115300A102,2117500A103
2111100A108,2111100A111
2106700A132,2106700A181
2111100H102,2111100H105
2106700B223,2106700B226
2117100A102,2117100D101
2114100C101,2114100C103
2120300B102,2120300E101
2111100L111,2111100M172
2111100B155,2111100D138
2103100D105,2122700E105
2119900C103,2119900D115
2103300D103,2103300D104
2109300G001,2109300G002
2111100D120,2111100V115
2118300E101,2118300E105
2116700D103,2116700G101
2122700A104,2122700D112
2119900A103,2119900B112
2119900A102,2119900B109
2123100G101,2123100G104
2121100A102,2121100G101
