BLOCK,PRECINCT
240010010002012,2400114-000
240010010002013,2400114-000
240010010002014,2400114-000
240010010002015,2400114-000
240010010002016,2400114-000
240010010002017,2400114-000
240010010002018,2400114-000
240010010002019,2400114-000
240010010002020,2400114-000
240010010002021,2400114-000
240010010002022,2400114-000
240010010002023,2400114-000
240010010002024,2400114-000
240010010002025,2400114-000
240010010002026,2400114-000
240010010002027,2400114-000
240010010002028,2400114-000
240010010002029,2400114-000
240010010002030,2400114-000
240010010002031,2400114-000
240010010002032,2400114-000
240010010002033,2400114-000
240010010002034,2400114-000
240010010002035,2400114-000
240010010002036,2400114-000
240010010002037,2400114-000
240010010002038,2400114-000
240010010002039,2400114-000
240010010002040,2400114-000
240010010002041,2400114-000
240010010002042,2400114-000
240010010002043,2400114-000
240010010002044,2400114-000
240010010002045,2400114-000
240010010002046,2400114-000
240010011001000,2400106-001
240010011001001,2400106-001
240010011001002,2400106-001
240010011001003,2400106-001
240010011001004,2400106-001
240010011001005,2400106-001
240010011001006,2400106-001
240010011001007,2400106-001
240010011001008,2400106-001
240010011001009,2400106-001
240010011001010,2400106-001
240010011001011,2400106-001
240010011001012,2400106-001
240010011001013,2400106-001
240010011001014,2400106-001
240010011001015,2400106-001
240010011001016,2400106-001
240010011001017,2400106-001
240010011001018,2400106-003
240010011001019,2400106-003
240010011001020,2400106-003
240010011001021,2400106-003
240010011001022,2400106-003
240010011001023,2400106-003
240010011001024,2400106-001
240010011001025,2400106-001
240010011001026,2400106-001
240010011001027,2400106-001
240010011001028,2400106-001
240010011001029,2400106-003
240010011001030,2400106-003
240010011001031,2400106-003
240010011002000,2400106-001
240010011002001,2400106-001
240010011002002,2400106-001
240010011002003,2400106-001
240010011002004,2400106-001
240010011002005,2400106-001
240010011002006,2400106-001
240010011002007,2400106-001
240010011002008,2400106-001
240010011002009,2400106-001
240010011002010,2400106-001
240010011002011,2400106-001
240010011002012,2400106-001
240010011002013,2400106-001
240010011002014,2400106-001
240010011002015,2400106-001
240010011002016,2400106-001
240010011002017,2400106-001
240010011002018,2400106-001
240010011002019,2400106-001
240010011002020,2400106-001
240010011002021,2400106-003
240010011002022,2400106-001
240010011002023,2400106-001
240010011002024,2400106-001
240010011002025,2400106-003
240010011002026,2400106-003
240010011002027,2400106-003
240010011002028,2400106-003
240010011002029,2400106-003
240010011002030,2400106-003
240010011002031,2400106-003
240010011002032,2400106-003
240010011002033,2400106-003
240010011002034,2400106-003
240010011002035,2400106-003
240010012001000,2400106-003
240010012001001,2400106-003
240010012001002,2400106-003
240010012001003,2400106-003
240010012001004,2400106-003
240010012001005,2400106-003
240010012001006,2400106-003
240010012001007,2400106-003
240010012001008,2400106-003
240010012001009,2400106-005
240010012001010,2400106-003
240010012001011,2400106-003
240010012001012,2400106-003
240010012001013,2400106-003
240010012001014,2400106-003
240010012001015,2400106-003
240010012001016,2400106-003
240010012001017,2400106-003
240010012001018,2400106-005
240010012001019,2400106-005
240010012001020,2400106-003
